date,thru_date,approx_date,cand_restname,cand_lastname,cand_fullname,city,addtl_cities,county,state,cd_if_known,event_type,sponsor,description,source_or_link,source_or_link2
2019-04-20,NA,NA,NA,NA,NA,Houston,NA,NA,TX,NA,forum,She the People,Presidential Primary Forum to Focus on Women of Color Voters,Steve Brusk,NA
2019-03-02,NA,NA,Amy,Klobuchar,Amy Klobuchar,Washington,NA,NA,DC,NA,event speech,Gridiron,Speaking at Gridiron Dinner,https://twitter.com/SusanPage/status/1087371276182802432,NA
2019-02-28,NA,NA,Joe,Biden,Joe Biden,Omaha,NA,NA,NE,NA,forum,University of Nebraska at Omaha,Chuck Hagel Forum in Global Leadership,https://www.unomaha.edu/news/events/chuck-hagel-forum-in-global-leadership/uno-to-welcome-joe-biden.php,NA
2019-02-28,NA,NA,Pete,Buttigieg,Pete Buttigieg,Seattle,NA,King,WA,NA,book tour,NA,Book tour,Dan Merica,NA
2019-02-27,NA,NA,Pete,Buttigieg,Pete Buttigieg,Los Angeles,NA,NA,CA,NA,book tour,NA,Book tour,Dan Merica,NA
2019-02-25,NA,NA,Eric,Swalwell,Eric Swalwell,Manchester,NA,NA,NH,NA,event speech,NA,Politics & Eggs,Terence Burlij,NA
2019-02-25,NA,NA,Pete,Buttigieg,Pete Buttigieg,Indianapolis,NA,NA,IN,NA,book tour,NA,Book tour,Dan Merica,NA
2019-02-22,NA,NA,Elizabeth,Warren,Elizabeth Warren,Manchester,NA,Hillsborough,NH,NA,event speech,NHDP,Keynote speaker at NHDP event,https://www.wmur.com/article/sen-elizabeth-warren-to-headline-major-nh-democratic-party-fundraising-dinner/25833398,NA
2019-02-19,NA,NA,Pete,Buttigieg,Pete Buttigieg,Philadelphia,NA,NA,PA,NA,book tour,NA,Book tour,Dan Merica,NA
2019-02-18,NA,NA,Pete,Buttigieg,Pete Buttigieg,New York,NA,NA,NY,NA,book tour,NA,Book tour,Dan Merica,NA
2019-02-17,NA,NA,Pete,Buttigieg,Pete Buttigieg,Washington,NA,NA,DC,NA,book tour,NA,Book tour,Dan Merica,NA
2019-02-15,NA,NA,Bill,Weld,Bill Weld,Bedford,NA,NA,NH,NA,forum,NA,Politics & Eggs,Steve Brusk,NA
2019-02-13,NA,NA,Pete,Buttigieg,Pete Buttigieg,Chicago,NA,NA,IL,NA,book tour,NA,Book tour,Dan Merica,NA
2019-02-12,NA,NA,Eric,Holder,Eric Holder,Des Moines,NA,NA,IA,NA,event speech,Harkin Institute,Conversation on redistricting and voting rights,David Wright,NA
2019-02-12,NA,NA,John,Delaney,John Delaney,Bedford,NA,NA,NH,NA,forum,NH Institute of Politics,Politics & Eggs,https://www.anselm.edu/new-hampshire-institute-politics/politics-eggs-john-delaney,NA
2019-02-12,NA,NA,Pete,Buttigieg,Pete Buttigieg,Cleveland,NA,NA,OH,NA,book tour,NA,Book tour,https://www.cityclub.org/forums/2019/02/12/meet-author-pete-buttigieg,NA
2019-02-08,2019-02-10,NA,Kirsten,Gillibrand,Kirsten Gillibrand,NA,NA,NA,SC,NA,meet and greet,NA,Meet voters & local leaders,Caroline Kenny,NA
2019-02-09,NA,NA,Sherrod,Brown,Sherrod Brown,Manchester,NA,NA,NH,NA,event speech,New Hampshire Young Democrats' Granite Slate Awards,New Hampshire Young Democrats' Granite Slate Awards keynote,https://www.wmur.com/article/sen-sherrod-brown-to-headline-major-nh-young-democrats-event-feb-9/26001266,NA
2019-02-08,NA,NA,Pete,Buttigieg,Pete Buttigieg,Ankeny,NA,NA,IA,NA,meet and greet,Ankeny area Dems,Meet and Greet with Pete Buttigieg for Ankeny Area Democrats,https://twitter.com/Lis_Smith/status/1090711798314123265,NA
2019-02-08,NA,NA,Sherrod,Brown,Sherrod Brown,NA,NA,NA,NH,NA,event speech,NA,Dignity of Work tour,https://www.wmur.com/article/sen-sherrod-brown-to-headline-major-nh-young-democrats-event-feb-9/26001266,NA
2019-02-06,NA,NA,John,Hickenlooper,John Hickenlooper,Columbia,NA,NA,SC,NA,NA,NA,NA,Dan Merica,NA
2019-02-04,NA,NA,Adam,Schiff,Adam Schiff,Bedford,NA,NA,NH,NA,meet and greet,NA,Politics & Eggs,https://twitter.com/JamesPindell/status/1088089589716271106,NA
2019-02-02,NA,NA,John,Delaney,John Delaney,Raleigh,NA,NA,NC,NA,meet and greet,NA,College Democrats of America Winter Convention,David Wright,NA
2019-02-02,NA,NA,Seth,Moulton,Seth Moulton,Bedford,NA,NA,NH,NA,meet and greet,NA,Speaking at small gathering,Dan Merica,NA
2019-02-01,NA,NA,Julian,Castro,Julian Castro,Palm Beach,NA,NA,FL,NA,event speech,NA,Democracy Matters,Dan Merica,NA
2019-02-01,2019-02-03,NA,Kirsten,Gillibrand,Kirsten Gillibrand,Manchester,"Portsmouth, Nashua, Durham",NA,NH,NA,meet and greet,NA,Meet with voters,Athena Jones,NA
2019-01-31,NA,NA,Marianne,Williamson,Marianne Williamson,Des Moines,NA,NA,IA,NA,campaign announcement,NA,Campaign announcement,David Wright,NA
2019-01-31,NA,NA,Eric,Swalwell,Eric Swalwell,Exeter,NA,NA,NH,NA,meet and greet,NA,Meet and greet with Rockingham County Democrats,https://twitter.com/steinhauserNH1/status/1082728653270728704,NA
2019-01-31,NA,NA,Sherrod,Brown,Sherrod Brown,Des Moines,NA,NA,IA,NA,rally,NA,Dignity of Work tour,https://www.cnn.com/2019/01/15/politics/sherrod-brown-early-state-tour/index.html,NA
2019-01-31,NA,NA,John,Hickenlooper,John Hickenlooper,Washington,NA,NA,DC,NA,event speech,NA,Brookings institution Hamilton Project,Dan Merica,NA
2019-01-30,2019-01-31,NA,John,Delaney,John Delaney,Council Bluffs,"Sioux City, Denison, Glenwood, Fort Dodge",NA,IA,NA,campaign events,NA,Meet & greets and campaign office openings,David Wright,NA
2019-01-30,NA,NA,Sherrod,Brown,Sherrod Brown,Cleveland,NA,NA,OH,NA,rally,NA,Dignity of Work tour,https://www.wmur.com/article/sen-sherrod-brown-to-headline-major-nh-young-democrats-event-feb-9/26001266,NA
2019-01-30,NA,NA,Howard,Schultz,Howard Schultz,Tempe,NA,NA,AZ,NA,event speech,NA,Discussion with ASU students,https://www.phoenixnewtimes.com/news/howard-schultz-asu-he-wont-be-2020-presidential-spoiler-11190126,NA
2019-01-29,NA,NA,Beto,O'Rourke,Beto O'Rourke,El Paso,NA,NA,TX,NA,meet and greet,UTEP,meet and greet with UTEP students,https://www.instagram.com/p/BtO1oAwFVLk/,NA
2019-01-29,NA,NA,Michael,Bloomberg,Michael Bloomberg,Manchester,"Concord, Nashua",NA,NH,NA,"event speech, meet and greet",NA,"Saint Anselm Institute of Politics, factory tour and house party",Cristina Alesci,NA
2019-01-28,NA,NA,Howard,Schultz,Howard Schultz,New York,NA,NA,NY,NA,book tour,NA,New York City book tour event,David Wright,NA
2019-01-28,NA,NA,Joe,Biden,Joe Biden,Ft. Lauderdale,NA,NA,FL,NA,book tour,NA,Book tour,https://www.browardcenter.org/events/detail/joe-biden,NA
2019-01-28,NA,NA,Kamala,Harris,Kamala Harris,Des Moines,NA,NA,IA,NA,town hall,NA,CNN Town Hall,https://www.cnn.com/2019/01/21/politics/kamala-harris-town-hall-iowa/index.html,NA
2019-01-27,NA,NA,Eric,Swalwell,Eric Swalwell,Marion,NA,NA,IA,NA,meet and greet,NA,Meet and greet with Linn County Democrats,Terence Burlij,NA
2019-01-27,NA,NA,Kamala,Harris,Kamala Harris,Oakland,NA,NA,CA,NA,rally,NA,Campaign Kickoff,Maeve Reston,NA
2019-01-27,NA,NA,John,Hickenlooper,John Hickenlooper,Des Moines,NA,NA,IA,NA,house party,NA,House party,https://twitter.com/brianneDMR/status/1087777890157162496,NA
2019-01-25,NA,NA,Kamala,Harris,Kamala Harris,Columbia,NA,NA,SC,NA,event speech,NA,Pink Ice Gala,https://www.politico.com/story/2019/01/11/kamala-harris-south-carolina-1098625,NA
2019-01-25,NA,NA,Michael,Bloomberg,Michael Bloomberg,Washington,"McLean, Tysons",NA,DC,NA,event speech,NA,"Remarks to Democratic Business Council of Northern Virginia networking breakfast, event with Moms Demand Action Virginia, Address at United States Conference of Mayors",https://www.dembiz.org/jan2019mbloomberg,NA
2019-01-25,NA,NA,John,Delaney,John Delaney,Des Moines,NA,NA,IA,NA,event speech,NA,Peoples Company’s Land Investment Expo’s political panel,https://peoplescompany.com/land-investment-expo,NA
2019-01-24,NA,NA,Kamala,Harris,Kamala Harris,New York,NA,NA,NY,NA,talk show,NA,The Daily Show,David Wright,NA
2019-01-24,NA,NA,Joe,Biden,Joe Biden,Dallas,NA,NA,TX,NA,book tour,NA,"""American Promise Tour"" (book tour)",https://www.verizontheatre.com/events/detail/364666?mod=article_inline,NA
2019-01-24,NA,NA,Joe,Biden,Joe Biden,Washington,NA,NA,DC,NA,event speech,NA,Address to the nation’s mayors during the United States Conference of Mayors (USCM) 87th Annual Winter Meeting,Arlette Saenz,NA
2019-01-24,NA,NA,Eric,Garcetti,Eric Garcetti,Washington,NA,NA,DC,NA,event speech,NA,Address to the nation’s mayors during the United States Conference of Mayors (USCM) 87th Annual Winter Meeting,David Wright,NA
2019-01-24,NA,NA,John,Hickenlooper,John Hickenlooper,Washington,NA,NA,DC,NA,event speech,NA,Address to the nation’s mayors during the United States Conference of Mayors (USCM) 87th Annual Winter Meeting,David Wright,NA
2019-01-24,NA,NA,Pete,Buttigieg,Pete Buttigieg,Washington,NA,NA,DC,NA,event speech,NA,Address to the nation’s mayors during the United States Conference of Mayors (USCM) 87th Annual Winter Meeting,David Wright,NA
2019-01-24,NA,NA,Jeff,Merkley,Jeff Merkley,Washington,NA,NA,DC,NA,event speech,NA,Address to the nation’s mayors during the United States Conference of Mayors (USCM) 87th Annual Winter Meeting,David Wright,NA
2019-01-24,NA,NA,Cory,Booker,Cory Booker,Washington,NA,NA,DC,NA,event speech,NA,Address to the nation’s mayors during the United States Conference of Mayors (USCM) 87th Annual Winter Meeting,David Wright,NA
2019-01-23,NA,NA,Elizabeth,Warren,Elizabeth Warren,Columbia,NA,NA,SC,NA,organizing event,NA,Organizing event,David Wright,NA
2019-01-22,NA,NA,Julian,Castro,Julian Castro,Washington,NA,NA,DC,NA,fundraiser,NA,Young Professionals closed press fundraiser,Dan Merica and Annie Grayer,https://www.facebook.com/events/2107860792614928/
2019-01-22,NA,NA,Cory,Booker,Cory Booker,New York,NA,NA,NY,NA,meet and greet,NA,Cocktails and conversations,David Wright,NA
2019-01-22,NA,NA,Michael,Bloomberg,Michael Bloomberg,Annapolis,NA,NA,MD,NA,event speech,NA,US Naval Academy conference,David Wright,NA
2019-01-22,NA,NA,Elizabeth,Warren,Elizabeth Warren,San Juan,NA,NA,PR,NA,town hall,NA,Community Conversation about Puerto Rico and its Recovery with Elizabeth Warren,David Wright,NA
2019-01-21,2019-01-22,NA,Jay,Inslee,Jay Inslee,Concord,Manchester,NA,NH,NA,"event speech, meet and greet",NA,"League of Conservation Voters, speech to Dartmouth and Saint Anselm College students",https://www.concordmonitor.com/On-the-Trail-Paul-Steinhauser-push-for-a-permanent-NH-presidential-primary-commission-22541817,NA
2019-01-21,NA,NA,Eric,Swalwell,Eric Swalwell,Atlanta,NA,NA,GA,NA,event speech,NA,MLK Day Events,David Wright,NA
2019-01-21,2019-01-22,NA,Bernie,Sanders,Bernie Sanders,Columbia,NA,NA,SC,NA,"event speech, town hall, meet and greets",NA,"SC NAACP MLK Day program, Conversation with students at Benedictine College, Meeting with South Carolina's legislative black caucus and House Democratic Caucus",https://www.thestate.com/news/politics-government/article224082770.html,NA
2019-01-21,NA,NA,Kirsten,Gillibrand,Kirsten Gillibrand,New York,NA,NA,NY,NA,event speech,NA,NAN MLK Day Event,Dan Merica,NA
2019-01-21,NA,NA,Michael,Bloomberg,Michael Bloomberg,Washington,NA,NA,DC,NA,event speech,NA,NAN breakfast with Al Sharpton,Arlette Saenz,NA
2019-01-21,NA,NA,Joe,Biden,Joe Biden,Washington,NA,NA,DC,NA,event speech,NA,NAN breakfast with Al Sharpton,Arlette Saenz,NA
2019-01-21,NA,NA,Cory,Booker,Cory Booker,Columbia,NA,NA,SC,NA,event speech,NA,SC NAACP MLK Day program,http://scnaacp.org/2019/01/2019-king-day-at-the-dome/,NA
2019-01-21,NA,NA,Julian,Castro,Julian Castro,San Antonio,NA,NA,TX,NA,event speech,NA,San Antonion MLK Day Parade,David Wright,NA
2019-01-20,NA,NA,Cory,Booker,Cory Booker,Plains,NA,NA,GA,NA,meet and greet,NA,Road trip with John Lewis,Rebecca Buck,NA
2019-01-19,NA,NA,Eric,Swalwell,Eric Swalwell,Spartanburg,NA,NA,SC,NA,event speech,NA,Blue Carolina Dinner,https://www.facebook.com/events/540976573042018/,NA
2019-01-18,2019-01-19,NA,Kirsten,Gillibrand,Kirsten Gillibrand,Sioux City,Des Moines,NA,IA,NA,organizing event,NA,Organizing events,David Wright,NA
2019-01-18,2019-01-19,NA,John,Delaney,John Delaney,Manchester,"Concord, Hanover",NA,NH,NA,"forum, meet and greet",NA,"Pints and Politics, Concord Women's March, meet and greets",David Wright,NA
2019-01-18,NA,NA,Elizabeth,Warren,Elizabeth Warren,Claremont,NA,NA,NH,NA,organizing event,NA,Organizing events,David Wright,NA
2019-01-18,NA,NA,Cory,Booker,Cory Booker,New Orleans,NA,NA,LA,NA,event speech,NA,InspireNOLA and Rep. Cedric Richmond’s “Project LIVE & Achieve” Rally for New Orleans students,David Wright,NA
2019-01-16,2019-01-18,NA,John,Hickenlooper,John Hickenlooper,Los Angeles,NA,NA,CA,NA,meet and greet,NA,Meeting with donors,Dan Merica,NA
2019-01-15,2019-01-16,NA,Julian,Castro,Julian Castro,Manchester,Somersworth,NA,NH,NA,"forum, meet and greet",NA,"Politics and Eggs, Meeting with Tri-City New Hampshire Young Democrats",Press release,NA
2019-01-15,NA,NA,Kamala,Harris,Kamala Harris,Washington,NA,NA,DC,NA,town hall,NA,NAACP Women in Power town hall,Terence Burlij,NA
2019-01-14,NA,NA,Julian,Castro,Julian Castro,San Juan,NA,NA,PR,NA,event speech,NA,Latino Victory Fund Speech/tour with Carmen Yulin Cruz,DJ Judd,NA
2019-01-12,NA,NA,Elizabeth,Warren,Elizabeth Warren,Manchester,Concord,NA,NH,NA,"organizing event, house party",NA,Organizing event & Concord House Party,David Wright,NA
2019-01-12,NA,NA,Jay,Inslee,Jay Inslee,North Las Vegas,NA,NA,NV,NA,event speech,NA,Battle Born Progress’ 5th Annual Progressive Summit,Dan Merica,NA
2019-01-11,NA,NA,Michael,Bloomberg,Michael Bloomberg,San Antonio,NA,NA,TX,NA,meet and greet,NA,Moms and Students Demand Action lunch,Cristina Alesci,NA
2019-01-11,2019-01-12,NA,John,Delaney,John Delaney,Des Moines,"Cedar Rapids, Davenport, Dewitt, Tipton",NA,IA,NA,organizing event,NA,"Campaign office openings, organizing events",Ethan Cohen,NA
2019-01-10,NA,NA,John,Delaney,John Delaney,Detroit,NA,NA,MI,NA,forum,NA,Roundtable w/small business owners,Ethan Cohen,NA
2019-01-09,2019-01-10,NA,Marianne,Williamson,Marianne Williamson,Portsmouth,"Conord, Nashua",NA,NH,NA,"event speech, meet and greet",NA,"Book store visits, meet and greets",https://patch.com/new-hampshire/concord-nh/calendar/event/20190109/476075/marianne-williamson,NA
2019-01-09,NA,NA,Tom,Steyer,Tom Steyer,Des Moines,NA,NA,IA,NA,meet and greet,NA,Asian and Latino Coalition reception,https://www.facebook.com/events/196843964603417/,NA
2019-01-08,NA,NA,Julian,Castro,Julian Castro,Las Vegas,NA,NA,NV,NA,meet and greet,NA,Meetings/event with Hispanic Student Union at Rancho High School,Arlette Saenz,NA
2019-01-07,NA,NA,Julian,Castro,Julian Castro,Cedar Rapids,"Iowa City, Coralville",NA,IA,NA,meet and greet,NA,Meetings with officials and community leaders,https://iowastartingline.com/2019/01/04/julian-castro-to-make-iowa-trip-before-announcement/,NA
2019-01-04,2019-01-06,NA,Elizabeth,Warren,Elizabeth Warren,Des Moines,"Council Bluffs, Sioux City, Storm Lake",NA,IA,NA,NA,NA,"Campaign events in Des Moines, Sioux City, Storm Lake, and Council Bluffs",https://www.cnn.com/2019/01/01/politics/elizabeth-warren-iowa-trip/index.html,NA
2019-01-03,NA,NA,John,Delaney,John Delaney,Dilley,NA,NA,TX,NA,meet and greet,NA,Detention center visit,https://politi.co/2F1BHhf,NA
2019-01-17,NA,NA,Beto,O'Rourke,Beto O'Rourke,Pueblo,NA,NA,CO,NA,meet and greet,NA,meet and greet with Pueblo Community College students,https://www.denverpost.com/2019/01/17/beto-orouke-visits-pueblo-colorado/,NA
2019-01-15,2018-01-16,X,Beto,O'Rourke,Beto O'Rourke,Ulysses,Liberal,NA,KS,NA,meet and greet,NA,road trip stop,https://medium.com/@BetoORourke/i-had-been-to-ulysses-kansas-once-before-briefly-312e9dac8011,NA
2019-01-15,2018-01-16,X,Beto,O'Rourke,Beto O'Rourke,Goodwell,NA,NA,OK,NA,meet and greet,NA,road trip stop,https://medium.com/@BetoORourke/a-lot-of-big-trucks-rolling-down-pancake-blvd-and-there-arent-any-sidewalks-699ca6bc7ce8,NA
2019-01-15,2018-01-16,X,Beto,O'Rourke,Beto O'Rourke,Dalhart,NA,NA,TX,NA,meet and greet,NA,road trip stop,https://news4sanantonio.com/news/local/saying-hes-in-a-funk-beto-orourke-hits-the-road-amid-2020-speculation,NA
2019-01-15,2018-01-16,X,Beto,O'Rourke,Beto O'Rourke,Tucamari,NA,NA,NM,NA,meet and greet,NA,meet and gree with Mesalands Community College students,https://www.facebook.com/permalink.php?id=134639213216131&story_fbid=2431079306905432,NA
2018-12-23,NA,NA,Beto,O'Rourke,Beto O'Rourke,Tornillo,NA,NA,TX,NA,tour,NA,Border visit,https://twitter.com/BetoORourke/status/1076955490792333312,NA
2018-12-20,NA,NA,Pete,Buttigieg,Pete Buttigieg,Des Moines,NA,NA,IA,NA,event speech,NA,"The sixth annual Progress Iowa Holiday Party will feature a number of national progressive leaders and potential Presidential candidates delivering keynote addresses, the organization announced today. Newly elected U.S. Reps. Cindy Axne and Abby Finkenauer will address the crowd, along with Mayor Pete Buttigieg of South Bend, Indiana, U.S. Sen. Jeff Merkley, U.S. Rep. and Iowa native Eric Swalwell, and entrepreneur and presidential candidate Andrew Yang will all speak at this year’s event, to be held Thursday, December 20th in Des Moines.",Dan Merica,NA
2018-12-20,NA,NA,Jeff,Merkley,Jeff Merkley,Des Moines,NA,NA,IA,NA,event speech,NA,"The sixth annual Progress Iowa Holiday Party will feature a number of national progressive leaders and potential Presidential candidates delivering keynote addresses, the organization announced today. Newly elected U.S. Reps. Cindy Axne and Abby Finkenauer will address the crowd, along with Mayor Pete Buttigieg of South Bend, Indiana, U.S. Sen. Jeff Merkley, U.S. Rep. and Iowa native Eric Swalwell, and entrepreneur and presidential candidate Andrew Yang will all speak at this year’s event, to be held Thursday, December 20th in Des Moines.",Dan Merica,NA
2018-12-20,NA,NA,Eric,Swalwell,Eric Swalwell,Des Moines,NA,NA,IA,NA,"event speech, town hall",NA,"The sixth annual Progress Iowa Holiday Party, Gun Violence Town Hall",Dan Merica,NA
2018-12-20,NA,NA,Andrew,Yang,Andrew Yang,Des Moines,NA,NA,IA,NA,event speech,NA,"The sixth annual Progress Iowa Holiday Party will feature a number of national progressive leaders and potential Presidential candidates delivering keynote addresses, the organization announced today. Newly elected U.S. Reps. Cindy Axne and Abby Finkenauer will address the crowd, along with Mayor Pete Buttigieg of South Bend, Indiana, U.S. Sen. Jeff Merkley, U.S. Rep. and Iowa native Eric Swalwell, and entrepreneur and presidential candidate Andrew Yang will all speak at this year’s event, to be held Thursday, December 20th in Des Moines.",https://iowastartingline.com/2020-watch/,NA
2018-12-18,NA,X,Kamala,Harris,Kamala Harris,"Kabul, Afghanistan",NA,NA,INTL,NA,foreign trip,NA,"U.S. Senator Kamala D. Harris (D-CA), a member of the Senate Select Committee on Intelligence and the Homeland Security and Governmental Affairs Committee, recently returned from Kabul, Afghanistan and other locations in the country where she met American servicemembers, diplomats, and national security professionals supporting the Afghan military in their fight against insurgent forces and terrorist organizations such as ISIS, Al Qaeda and the Taliban, toured numerous bases across the country, and received briefings on U.S. military operations in the region. Harris joined U.S. Senators Richard Burr (R-NC) and James Lankford (R-OK) on the congressional delegation. “During my time in Afghanistan, I was honored to meet with United States service members, including many from California, who make daily sacrifices on behalf of their country and who are away from home during this holiday season. I was grateful to receive on the ground briefings on the state of the region and discuss how best to keep our country and our allies safe from the threat posed by terrorism,” said Harris. “I remain eager to find a political solution to the ongoing conflict in Afghanistan so we can bring U.S. servicemembers and national security professionals home.”",David Wright,NA
2018-12-15,NA,NA,Jeff,Merkley,Jeff Merkley,Tornillo,NA,NA,TX,NA,tour,NA,Border visit,https://www.opb.org/news/article/tent-camp-us-mexico-border-merkley-visit/,NA
2018-12-15,NA,NA,Beto,O'Rourke,Beto O'Rourke,Tornillo,NA,NA,TX,NA,tour,NA,Border visit,https://www.texastribune.org/2018/12/15/beto-orourke-democrats-tornillo/,NA
2018-12-14,NA,NA,Elizabeth,Warren,Elizabeth Warren,Baltimore,NA,NA,MD,NA,event speech,NA,Morgan State Commencement,https://www.youtube.com/watch?time_continue=2&v=JDxfa_dTTE8,NA
2018-12-14,NA,NA,Eric,Swalwell,Eric Swalwell,Manchester,NA,NA,NH,NA,event speech,NA,NH Young Democrats’ holiday party,https://www.facebook.com/events/1076584792521063/,NA
2018-12-13,NA,NA,Tom,Steyer,Tom Steyer,Fresno,NA,NA,CA,NA,event speech,NA,"Discussion on the Right to Clean Air and Clean Water in Fresno, California",David Wright,NA
2018-12-12,NA,NA,Joe,Biden,Joe Biden,Washington,NA,NA,DC,NA,meet and greet,NA,Holiday Reception,http://nymag.com/intelligencer/2018/12/will-joe-biden-run-for-president-in-2020.html,NA
2018-12-12,NA,NA,Kamala,Harris,Kamala Harris,Washington,NA,NA,DC,NA,event speech,NA,Center for American Progress: Eliminating Racial Disparities in Maternal and Infant Mortality,Dan Merica,NA
2018-12-09,NA,NA,Joe,Biden,Joe Biden,Burlington,NA,NA,VT,NA,book tour,NA,Book tour event,Arlette Saenz,NA
2018-12-08,2018-12-09,NA,Cory,Booker,Cory Booker,Concord,"Nashua, Manchester, Keene",NA,NH,NA,"event speech, meet and greet",NA,"NH Dems Post-Election Victory Celebration, house parties, meet and greets",Dan Merica,https://www.necn.com/multimedia/2020-Presidential-Primaries-Which-Candidates-Visited-New-Hampshire-490729011.html
2018-12-04,NA,NA,Tom,Steyer,Tom Steyer,Charleston,NA,NA,SC,NA,event speech,NA,Discussion on the Right to an Equal Vote in South Carolina,David Wright,NA
2018-12-04,NA,NA,Michael,Bloomberg,Michael Bloomberg,Des Moines,NA,NA,IA,NA,forum,NA,"""Paris to Pittsburgh""",https://www.desmoinesregister.com/story/news/politics/2018/11/26/michael-bloomberg-visit-iowa-2020-presidential-run-new-york-city-mayor-democrat-republican-climate/2120139002/,NA
2018-12-03,NA,NA,Bernie,Sanders,Bernie Sanders,Washington,NA,NA,DC,NA,town hall,NA,Solving Our Climate Crisis: A National Town Hall,https://www.facebook.com/events/326982228114064/,NA
2018-12-02,NA,NA,Tulsi,Gabbard,Tulsi Gabbard,Exeter,Concord,NA,NH,NA,meet and greet,NA,Meet & greet w/ local Dems / Rights & Democracy NH forum,https://www.c-span.org/video/?455180-1/representative-tulsi-gabbard-meets-hampshire-voters,NA
2018-12-02,NA,NA,John,Delaney,John Delaney,Sioux City,NA,NA,IA,NA,meet and greet,NA,Meet and greet with local Dems,David Wright,NA
2018-12-01,NA,NA,Amy,Klobuchar,Amy Klobuchar,Perry,NA,NA,IA,NA,event speech,NA,Iowa Farmers Union state convention,https://www.desmoinesregister.com/story/news/politics/2018/12/01/amy-klobuchar-minnesota-heartland-economics-iowa-caucus-democrats-farm-bill-farmers-union-convention/2174588002/,NA
2018-11-29,NA,NA,Elizabeth,Warren,Elizabeth Warren,Washington,NA,NA,DC,NA,event speech,NA,Foreign Policy Address,David Wright,NA
2018-11-28,NA,NA,Bernie,Sanders,Bernie Sanders,Washington,NA,NA,DC,NA,event speech,NA,“Where We Go From Here: Two Years in the Resistance”,https://www.gwhatchet.com/2018/11/28/bernie-sanders-doesnt-rule-out-2020-presidential-bid-at-on-campus-event/?platform=hootsuite,NA
2018-11-17,NA,NA,Kamala,Harris,Kamala Harris,Jackson,NA,NA,MS,NA,campaign event,NA,Campaign w/ Mike Espy,David Wright,NA
2018-11-16,NA,NA,Andrew,Yang,Andrew Yang,Iowa City,NA,NA,IA,NA,event speech,NA,Event at Univ. of Iowa,https://iowastartingline.com/2020-watch/,NA
2018-11-16,NA,NA,Deval,Patrick,Deval Patrick,Charleston,NA,NA,SC,NA,event speech,NA,keynote at Charleston Trident Urban League's 27th Annual Equal Opportunity and Diversity Fundraiser,https://form.jotform.com/82615128184154,NA
2018-11-16,NA,NA,Beto,O'Rourke,Beto O'Rourke,Washington,NA,NA,DC,NA,NA,NA,Meeting with Obama,https://www.washingtonpost.com/politics/beto-orourke-met-with-barack-obama-as-he-ponders-a-2020-presidential-campaign/2018/12/04/fa895cc8-f7fb-11e8-8d64-4e79db33382f_story.html,NA
2018-11-10,NA,NA,Eric,Swalwell,Eric Swalwell,Des Moines,NA,NA,IA,NA,event speech,NA,Spoke with Asian & Latino Coalition,https://iowastartingline.com/2020-watch/,NA
